delivery_id,order_id,order_item,expected_delivery_time_min,actual_delivery_time_min,delivery_item,distance_km
DEL202501014786,ORD202501014786,4,34,52,4,1.3
DEL202501008628,ORD202501008628,1,40,38,1,3.6
DEL202501011828,ORD202501011828,5,40,41,5,5.8
DEL202501013743,ORD202501013743,,31,,,2.7
DEL202501004720,ORD202501004720,7,32,46,7,1.1
DEL202501021095,ORD202501021095,6,37,42,6,5.4
DEL202501012443,ORD202501012443,3,40,30,3,5
DEL202501013823,ORD202501013823,5,31,34,5,6.5
DEL202501009946,ORD202501009946,5,34,36,5,7.9
DEL202501010477,ORD202501010477,6,44,28,6,7.2
DEL202501010107,ORD202501010107,2,39,38,2,4.5
DEL202501017028,ORD202501017028,2,39,28,2,2.1
DEL202501004956,ORD202501004956,3,36,42,3,4.7
DEL202501002374,ORD202501002374,6,37,46,6,1.9
DEL202501008410,ORD202501008410,3,34,55,3,3.1
DEL202501024004,ORD202501024004,5,37,43,5,7.1
DEL202501005758,ORD202501005758,2,32,25,3,5.7
DEL202501020301,ORD202501020301,4,39,42,4,6.8
DEL202501007244,ORD202501007244,6,45,36,6,4.2
DEL202501000762,ORD202501000762,6,35,35,8,6.3
DEL202501012715,ORD202501012715,5,34,48,5,1.7
DEL202501007720,ORD202501007720,3,30,41,3,2.5
DEL202501000702,ORD202501000702,5,38,31,5,2
DEL202501006680,ORD202501006680,3,32,26,3,7
DEL202501008051,ORD202501008051,4,40,39,4,3
DEL202501002580,ORD202501002580,3,40,54,3,2.8
DEL202501024879,ORD202501024879,1,45,47,1,5.8
DEL202501011502,ORD202501011502,3,42,36,3,3.9
DEL202501022955,ORD202501022955,3,45,32,3,3.8
DEL202501000539,ORD202501000539,2,33,34,2,7.2
DEL202501018894,ORD202501018894,2,38,33,2,1.7
DEL202501010897,ORD202501010897,3,35,46,3,1.2
DEL202501016811,ORD202501016811,5,45,47,5,2.3
DEL202501001923,ORD202501001923,2,35,43,2,4.1
DEL202501023942,ORD202501023942,4,39,39,4,1.8
DEL202501020256,ORD202501020256,2,38,34,1,6.8
DEL202501022770,ORD202501022770,1,32,36,2,5.3
DEL202501011017,ORD202501011017,5,32,30,5,6.4
DEL202501010196,ORD202501010196,5,45,41,5,8
DEL202501015561,ORD202501015561,4,45,52,2,2.8
DEL202501020570,ORD202501020570,6,43,39,6,5.7
DEL202501017580,ORD202501017580,2,44,42,2,3.7
DEL202501023598,ORD202501023598,7,37,41,5,2.2
DEL202501005605,ORD202501005605,2,35,36,2,1.1
DEL202501015959,ORD202501015959,2,36,43,2,1.9
DEL202501001768,ORD202501001768,3,35,52,3,7.6
DEL202501001974,ORD202501001974,5,36,30,5,2.8
DEL202501003708,ORD202501003708,7,34,29,7,4.3
DEL202501003843,ORD202501003843,8,30,53,8,4.6
DEL202501024447,ORD202501024447,3,31,38,1,6.3
DEL202501014062,ORD202501014062,6,41,51,6,3.8
DEL202501014818,ORD202501014818,2,32,31,1,7
DEL202501022192,ORD202501022192,3,34,45,3,5.9
DEL202501014626,ORD202501014626,8,34,36,8,3.9
DEL202501021342,ORD202501021342,1,37,38,1,5.6
DEL202501000483,ORD202501000483,1,38,42,1,2.8
DEL202501014713,ORD202501014713,4,32,40,4,6.6
DEL202501021914,ORD202501021914,9,33,45,9,3.2
DEL202501000834,ORD202501000834,4,45,39,4,2.9
DEL202501009861,ORD202501009861,3,31,33,3,2.2
DEL202501001257,ORD202501001257,2,42,32,2,3.5
DEL202501001195,ORD202501001195,1,39,37,2,4.7
DEL202501006915,ORD202501006915,4,30,29,4,4.3
DEL202501005965,ORD202501005965,5,41,40,4,4.5
DEL202501023569,ORD202501023569,5,36,43,5,6.4
DEL202501008766,ORD202501008766,1,31,36,1,3.5
DEL202501013826,ORD202501013826,2,45,48,2,6.1
DEL202501023257,ORD202501023257,6,34,44,6,3.8
DEL202501016403,ORD202501016403,2,35,38,2,6.3
DEL202501015609,ORD202501015609,5,45,34,5,7.1
DEL202501004621,ORD202501004621,5,37,41,5,1.4
DEL202501022859,ORD202501022859,2,30,41,2,4.5
DEL202501007450,ORD202501007450,5,43,40,5,2.4
DEL202501008380,ORD202501008380,10,31,41,10,6.7
DEL202501002207,ORD202501002207,3,30,55,4,2.1
DEL202501011274,ORD202501011274,3,45,33,3,7.6
DEL202501005785,ORD202501005785,2,41,28,2,6.6
DEL202501004511,ORD202501004511,5,42,35,6,2.4
DEL202501010956,ORD202501010956,2,43,49,2,1.9
DEL202501018378,ORD202501018378,7,30,34,7,1.7
DEL202501009260,ORD202501009260,7,34,25,7,2.8
DEL202501019498,ORD202501019498,2,42,38,1,4.5
DEL202501021040,ORD202501021040,3,42,35,3,2
DEL202501006755,ORD202501006755,13,39,32,11,5.5
DEL202501004689,ORD202501004689,3,31,25,3,2.6
DEL202501021627,ORD202501021627,,40,,,3.4
DEL202501010044,ORD202501010044,5,38,29,5,2.5
DEL202501013092,ORD202501013092,1,33,31,1,2.4
DEL202501004107,ORD202501004107,1,43,55,1,3
DEL202501002550,ORD202501002550,4,43,30,4,3.6
DEL202501007817,ORD202501007817,8,37,42,8,4.6
DEL202501016778,ORD202501016778,7,39,53,7,7.1
DEL202501009928,ORD202501009928,3,35,38,3,3.8
DEL202501003271,ORD202501003271,6,34,46,6,5.4
DEL202501023639,ORD202501023639,7,39,36,7,5.6
DEL202501002838,ORD202501002838,5,32,38,5,7.8
DEL202501000678,ORD202501000678,4,37,38,4,4.7
DEL202501010154,ORD202501010154,10,31,37,11,1.7
DEL202501012000,ORD202501012000,8,33,35,8,7
DEL202501022091,ORD202501022091,3,32,43,3,2.7
DEL202501008622,ORD202501008622,2,38,41,2,2.9
DEL202501018412,ORD202501018412,,40,,,2.6
DEL202501019170,ORD202501019170,3,45,40,3,3.5
DEL202501014685,ORD202501014685,3,38,34,3,6.6
DEL202501006314,ORD202501006314,3,38,39,3,1.3
DEL202501004051,ORD202501004051,8,30,55,8,6.9
DEL202501007932,ORD202501007932,1,40,43,3,1.5
DEL202501001202,ORD202501001202,6,39,33,8,1.3
DEL202501016051,ORD202501016051,3,30,42,3,1.5
DEL202501005017,ORD202501005017,3,35,31,3,4.1
DEL202501024788,ORD202501024788,,31,,,5.4
DEL202501013517,ORD202501013517,3,43,43,3,6.3
DEL202501018916,ORD202501018916,4,41,47,4,1.6
DEL202501011874,ORD202501011874,3,31,43,1,7.5
DEL202501013738,ORD202501013738,4,33,36,4,6.4
DEL202501012453,ORD202501012453,7,45,42,7,5.4
DEL202501018670,ORD202501018670,9,40,37,9,5.5
DEL202501022551,ORD202501022551,6,40,39,6,1.1
DEL202501009099,ORD202501009099,2,43,41,2,4.6
DEL202501024112,ORD202501024112,11,38,51,11,1.5
DEL202501019554,ORD202501019554,2,43,38,2,2.3
DEL202501006540,ORD202501006540,4,37,41,3,2.6
DEL202501003256,ORD202501003256,2,33,37,2,6.3
DEL202501006422,ORD202501006422,6,34,25,6,3.2
DEL202501020172,ORD202501020172,5,32,53,5,7.2
DEL202501008574,ORD202501008574,5,36,27,5,6.8
DEL202501012804,ORD202501012804,7,38,37,7,5.1
DEL202501024585,ORD202501024585,8,35,39,8,2.6
DEL202501006489,ORD202501006489,8,32,37,8,4.2
DEL202501013923,ORD202501013923,4,40,50,4,7.9
DEL202501003140,ORD202501003140,4,40,53,4,3.5
DEL202501008567,ORD202501008567,3,44,49,3,6.4
DEL202501023409,ORD202501023409,6,37,53,6,4.9
DEL202501004825,ORD202501004825,6,38,43,4,1.6
DEL202501009797,ORD202501009797,5,33,37,7,7.4
DEL202501022207,ORD202501022207,4,42,40,4,4
DEL202501020855,ORD202501020855,,31,,,5.8
DEL202501008555,ORD202501008555,4,34,30,4,7.2
DEL202501005990,ORD202501005990,4,39,38,5,2.3
DEL202501012657,ORD202501012657,4,41,49,4,5.8
DEL202501002025,ORD202501002025,3,40,54,3,3
DEL202501021445,ORD202501021445,5,31,45,5,4.8
DEL202501006632,ORD202501006632,4,38,39,4,3.9
DEL202501009175,ORD202501009175,7,44,30,7,6.8
DEL202501018218,ORD202501018218,10,32,52,10,5.5
DEL202501015270,ORD202501015270,7,42,45,7,1.4
DEL202501016067,ORD202501016067,1,45,31,1,5.7
DEL202501004816,ORD202501004816,6,42,40,6,3.9
DEL202501007785,ORD202501007785,10,41,34,10,1.3
DEL202501024935,ORD202501024935,,39,,,4.4
DEL202501008376,ORD202501008376,3,32,44,3,6.9
DEL202501006097,ORD202501006097,8,39,25,7,3.9
DEL202501007681,ORD202501007681,3,40,40,3,2.4
DEL202501004704,ORD202501004704,4,38,43,5,6.3
DEL202501023030,ORD202501023030,10,38,25,10,2.6
DEL202501012450,ORD202501012450,1,37,35,1,4.7
DEL202501005986,ORD202501005986,10,43,27,10,5.1
DEL202501014267,ORD202501014267,5,31,51,5,7.4
DEL202501024583,ORD202501024583,4,37,46,4,4.1
DEL202501007316,ORD202501007316,12,40,35,11,4.2
DEL202501024267,ORD202501024267,5,33,48,5,7.8
DEL202501018738,ORD202501018738,,40,,,6.4
DEL202501007283,ORD202501007283,5,43,42,3,4.4
DEL202501000850,ORD202501000850,4,42,33,4,4.4
DEL202501012083,ORD202501012083,4,38,38,4,5.4
DEL202501005306,ORD202501005306,4,35,43,4,2.2
DEL202501001451,ORD202501001451,3,31,31,1,4.6
DEL202501008173,ORD202501008173,4,44,38,4,5.6
DEL202501000011,ORD202501000011,1,32,34,1,1.9
DEL202501003388,ORD202501003388,2,41,33,2,2.7
DEL202501006934,ORD202501006934,8,35,46,8,2.4
DEL202501022974,ORD202501022974,2,42,40,1,3.7
DEL202501010172,ORD202501010172,4,40,46,4,5.1
DEL202501003927,ORD202501003927,1,45,46,1,6.6
DEL202501005623,ORD202501005623,2,36,55,1,7.2
DEL202501003608,ORD202501003608,2,31,38,2,2.6
DEL202501008401,ORD202501008401,5,31,52,5,2.5
DEL202501013919,ORD202501013919,9,31,36,10,4.4
DEL202501000656,ORD202501000656,2,38,50,2,6
DEL202501003334,ORD202501003334,2,30,27,2,7
DEL202501002676,ORD202501002676,1,36,27,1,1.9
DEL202501020295,ORD202501020295,2,34,33,2,2
DEL202501024283,ORD202501024283,4,30,44,4,6.2
DEL202501014349,ORD202501014349,6,34,42,6,8
DEL202501009838,ORD202501009838,8,38,25,8,4.4
DEL202501020806,ORD202501020806,1,31,40,1,5.9
DEL202501010425,ORD202501010425,,40,,,3.7
DEL202501004188,ORD202501004188,3,34,45,3,1.4
DEL202501020429,ORD202501020429,2,40,34,2,5.5
DEL202501021138,ORD202501021138,1,45,41,2,6.5
DEL202501010306,ORD202501010306,5,39,41,5,4.6
DEL202501009885,ORD202501009885,3,31,44,3,3.9
DEL202501011823,ORD202501011823,9,33,38,11,3.2
DEL202501010461,ORD202501010461,8,33,41,8,7.2
DEL202501019905,ORD202501019905,3,42,36,3,6.8
DEL202501010285,ORD202501010285,2,33,44,2,6.9
DEL202501024363,ORD202501024363,1,44,39,1,5.1
DEL202501015266,ORD202501015266,4,30,46,4,3.5
DEL202501016808,ORD202501016808,6,43,29,5,7
DEL202501015798,ORD202501015798,8,39,28,8,1.4
DEL202501003871,ORD202501003871,5,34,34,6,2
DEL202501016222,ORD202501016222,5,43,45,5,2.8
DEL202501011680,ORD202501011680,7,45,41,7,6.4
DEL202501014402,ORD202501014402,1,44,48,1,6.2
DEL202501001326,ORD202501001326,1,43,39,1,1.8
DEL202501005856,ORD202501005856,,43,,,3.7
DEL202501011630,ORD202501011630,3,38,33,3,1.4
DEL202501000147,ORD202501000147,1,40,35,1,1.6
DEL202501019319,ORD202501019319,9,43,32,9,1
DEL202501005791,ORD202501005791,2,41,37,2,3.4
DEL202501019570,ORD202501019570,8,31,53,9,4.5
DEL202501003995,ORD202501003995,5,41,28,5,7.4
DEL202501001003,ORD202501001003,7,38,31,7,4.9
DEL202501003925,ORD202501003925,8,30,43,8,7.1
DEL202501001695,ORD202501001695,1,33,25,1,4.5
DEL202501011296,ORD202501011296,1,44,47,1,2.8
DEL202501000554,ORD202501000554,7,35,35,7,3.4
DEL202501005243,ORD202501005243,6,31,31,6,4.6
DEL202501019167,ORD202501019167,5,39,43,5,6.6
DEL202501005476,ORD202501005476,,37,,,6.2
DEL202501014201,ORD202501014201,4,43,42,4,4.5
DEL202501006178,ORD202501006178,2,39,50,2,2.9
DEL202501007406,ORD202501007406,5,38,28,3,1.9
DEL202501018333,ORD202501018333,,34,,,4.4
DEL202501005517,ORD202501005517,2,34,48,2,4.6
DEL202501005584,ORD202501005584,5,40,43,5,6
DEL202501017439,ORD202501017439,1,37,42,1,5.8
DEL202501003594,ORD202501003594,8,38,55,8,5.5
DEL202501011261,ORD202501011261,8,32,40,9,3.8
DEL202501014248,ORD202501014248,3,31,41,3,1.7
DEL202501008473,ORD202501008473,8,31,33,8,6.5
DEL202501024639,ORD202501024639,5,34,42,5,5.6
DEL202501014882,ORD202501014882,3,36,42,1,5.5
DEL202501011415,ORD202501011415,3,40,33,3,5.5
DEL202501005890,ORD202501005890,,43,,,7.8
DEL202501009013,ORD202501009013,6,33,31,6,1.5
DEL202501002206,ORD202501002206,3,44,37,3,4
DEL202501018323,ORD202501018323,10,30,55,10,7.9
DEL202501003073,ORD202501003073,5,32,32,5,1.9
DEL202501001993,ORD202501001993,6,33,42,6,2
DEL202501020821,ORD202501020821,5,39,37,5,1.5
DEL202501001425,ORD202501001425,7,41,41,7,4
DEL202501013037,ORD202501013037,4,39,37,4,1.2
DEL202501011115,ORD202501011115,,35,,,2.5
DEL202501007260,ORD202501007260,4,33,40,4,1.6
DEL202501010071,ORD202501010071,,36,,,5.4
DEL202501015840,ORD202501015840,7,45,51,7,6.1
DEL202501010282,ORD202501010282,2,38,40,2,4.2
DEL202501018769,ORD202501018769,2,32,39,2,2.6
DEL202501023474,ORD202501023474,,44,,,1.3
DEL202501004790,ORD202501004790,11,34,43,11,7.8
DEL202501015434,ORD202501015434,4,42,33,4,2.3
DEL202501024694,ORD202501024694,5,36,44,7,2.1
DEL202501004248,ORD202501004248,5,37,45,5,7.3
DEL202501002575,ORD202501002575,4,43,42,4,5
DEL202501009603,ORD202501009603,6,43,37,6,6.6
DEL202501014701,ORD202501014701,4,39,37,4,3.7
DEL202501007582,ORD202501007582,5,35,47,5,5.3
DEL202501004119,ORD202501004119,2,31,37,2,2.9
DEL202501016775,ORD202501016775,7,41,25,7,7.8
DEL202501003894,ORD202501003894,3,41,50,3,3.5
DEL202501009241,ORD202501009241,4,43,47,5,2.8
DEL202501000165,ORD202501000165,4,33,27,4,1.9
DEL202501018538,ORD202501018538,1,39,25,1,3.8
DEL202501015232,ORD202501015232,3,38,55,3,1.4
DEL202501015694,ORD202501015694,2,45,43,2,3.4
DEL202501007215,ORD202501007215,5,36,43,5,2.4
DEL202501022778,ORD202501022778,3,34,27,3,5.3
DEL202501024197,ORD202501024197,6,42,40,6,5
DEL202501021102,ORD202501021102,6,36,39,6,7.2
DEL202501005347,ORD202501005347,5,40,42,6,3.8
DEL202501023387,ORD202501023387,7,33,45,7,2.8
DEL202501017952,ORD202501017952,7,41,47,7,4.1
DEL202501023504,ORD202501023504,4,32,53,4,3.7
DEL202501024075,ORD202501024075,2,45,32,2,7.2
DEL202501013499,ORD202501013499,7,38,50,7,1
DEL202501013237,ORD202501013237,3,40,51,3,3.3
DEL202501023453,ORD202501023453,1,32,36,2,7
DEL202501000920,ORD202501000920,4,35,41,4,2.6
DEL202501012170,ORD202501012170,2,31,42,2,5.3
DEL202501012501,ORD202501012501,8,37,37,8,4.8
DEL202501000070,ORD202501000070,3,37,32,2,1.7
DEL202501003432,ORD202501003432,4,33,43,4,3.6
DEL202501001871,ORD202501001871,9,44,27,9,4.1
DEL202501008348,ORD202501008348,5,33,35,5,5.7
DEL202501001197,ORD202501001197,2,34,49,2,2.6
DEL202501020974,ORD202501020974,3,41,33,3,4.7
DEL202501009381,ORD202501009381,5,37,26,5,7.2
DEL202501003534,ORD202501003534,6,43,41,6,3.1
DEL202501004004,ORD202501004004,2,43,38,2,4
DEL202501012532,ORD202501012532,4,36,38,4,4.8
DEL202501001462,ORD202501001462,5,40,41,5,3.4
DEL202501006886,ORD202501006886,8,41,45,8,4
DEL202501011894,ORD202501011894,6,35,45,6,6.1
DEL202501013377,ORD202501013377,2,44,44,3,5.5
DEL202501010780,ORD202501010780,3,43,42,3,2.7
DEL202501001886,ORD202501001886,5,41,39,6,3.5
DEL202501008513,ORD202501008513,4,43,37,4,6.4
DEL202501014616,ORD202501014616,1,34,31,1,2.1
DEL202501000290,ORD202501000290,3,39,30,3,6.1
DEL202501013750,ORD202501013750,2,39,35,2,6.8
DEL202501005455,ORD202501005455,2,37,32,2,2.6
DEL202501008750,ORD202501008750,3,30,42,3,7.4
DEL202501001053,ORD202501001053,3,36,40,4,4.6
DEL202501006533,ORD202501006533,2,36,47,1,7
DEL202501022375,ORD202501022375,6,32,45,6,2.2
DEL202501010283,ORD202501010283,1,34,34,1,5.4
DEL202501004163,ORD202501004163,,30,,,5.4
DEL202501018420,ORD202501018420,5,36,28,5,4.5
DEL202501008483,ORD202501008483,5,34,39,5,1.8
DEL202501016983,ORD202501016983,3,36,32,3,5.5
DEL202501019879,ORD202501019879,4,34,41,2,4
DEL202501010967,ORD202501010967,4,41,50,4,6.8
DEL202501021834,ORD202501021834,9,45,49,9,5.4
DEL202501007018,ORD202501007018,8,45,42,8,7.7
DEL202501000444,ORD202501000444,5,42,25,5,6.3
DEL202501010126,ORD202501010126,5,34,37,5,1.4
DEL202501024454,ORD202501024454,4,45,31,4,5.5
DEL202501013804,ORD202501013804,3,31,55,3,6.9
DEL202501021381,ORD202501021381,3,31,30,3,4
DEL202501021945,ORD202501021945,6,40,41,8,3.4
DEL202501021725,ORD202501021725,6,38,52,5,6.1
DEL202501007217,ORD202501007217,1,31,41,3,1.1
DEL202501006917,ORD202501006917,4,45,54,4,1.3
DEL202501004771,ORD202501004771,2,45,36,2,7.7
DEL202501003613,ORD202501003613,5,41,26,5,6.2
DEL202501007499,ORD202501007499,3,34,36,3,2.7
DEL202501024820,ORD202501024820,2,30,35,1,6.5
DEL202501018661,ORD202501018661,7,44,41,7,4.9
DEL202501016043,ORD202501016043,10,45,25,10,4.1
DEL202501011095,ORD202501011095,1,33,35,1,2.4
DEL202501012199,ORD202501012199,4,36,50,4,2.2
DEL202501014704,ORD202501014704,4,33,34,4,2.7
DEL202501017084,ORD202501017084,2,38,44,2,2
DEL202501006236,ORD202501006236,7,37,43,7,2.4
DEL202501014820,ORD202501014820,2,43,26,2,5.1
DEL202501006504,ORD202501006504,6,45,31,6,2.5
DEL202501015214,ORD202501015214,8,30,41,8,7.4
DEL202501024131,ORD202501024131,7,42,43,5,3.8
DEL202501014623,ORD202501014623,3,41,33,5,6.6
DEL202501020540,ORD202501020540,3,41,45,3,1.3
DEL202501015500,ORD202501015500,5,41,41,5,3.3
DEL202501011464,ORD202501011464,4,44,51,4,3.2
DEL202501014888,ORD202501014888,3,33,36,3,5.5
DEL202501011273,ORD202501011273,11,37,42,11,2.4
DEL202501018510,ORD202501018510,11,30,35,11,4.1
DEL202501020880,ORD202501020880,6,38,35,6,1.6
DEL202501003408,ORD202501003408,2,30,36,2,2.3
DEL202501018828,ORD202501018828,5,39,31,5,4.6
DEL202501000976,ORD202501000976,3,40,25,3,1
DEL202501006940,ORD202501006940,5,38,55,5,4.3
DEL202501015732,ORD202501015732,4,35,36,4,5.7
DEL202501022786,ORD202501022786,4,41,37,4,6.1
DEL202501017529,ORD202501017529,4,39,37,4,6.8
DEL202501008967,ORD202501008967,8,38,31,8,7.5
DEL202501017474,ORD202501017474,,44,,,2.9
DEL202501019535,ORD202501019535,12,40,28,12,5.1
DEL202501006634,ORD202501006634,8,35,45,8,6.1
DEL202501004558,ORD202501004558,2,38,41,2,3.9
DEL202501018058,ORD202501018058,10,45,37,10,6.4
DEL202501013716,ORD202501013716,5,38,44,5,5.6
DEL202501010887,ORD202501010887,1,32,26,1,4.4
DEL202501007138,ORD202501007138,11,30,36,12,1.9
DEL202501022831,ORD202501022831,3,36,54,3,4.8
DEL202501004603,ORD202501004603,3,35,53,3,7.4
DEL202501009127,ORD202501009127,8,32,31,10,1.6
DEL202501000956,ORD202501000956,2,35,42,2,2.2
DEL202501014119,ORD202501014119,3,33,33,3,6.9
DEL202501019702,ORD202501019702,1,45,49,2,4.9
DEL202501023202,ORD202501023202,1,40,37,1,4.7
DEL202501000174,ORD202501000174,2,44,39,2,5.6
DEL202501007567,ORD202501007567,5,45,32,4,7.4
DEL202501015033,ORD202501015033,1,45,39,1,2.4
DEL202501021422,ORD202501021422,7,34,26,7,6.1
DEL202501018053,ORD202501018053,5,38,43,5,6.2
DEL202501015111,ORD202501015111,8,35,35,8,7.5
DEL202501014774,ORD202501014774,2,45,46,2,6.4
DEL202501001127,ORD202501001127,2,41,42,2,5.3
DEL202501004914,ORD202501004914,2,30,29,2,5
DEL202501009383,ORD202501009383,3,34,46,3,6.8
DEL202501001816,ORD202501001816,4,32,55,4,7.4
DEL202501005819,ORD202501005819,3,32,43,3,2.5
DEL202501006561,ORD202501006561,6,34,38,6,2.7
DEL202501016694,ORD202501016694,,42,,,1.3
DEL202501014510,ORD202501014510,4,43,50,4,1.8
DEL202501008356,ORD202501008356,5,37,35,5,1.9
DEL202501021003,ORD202501021003,4,34,35,4,6.5
DEL202501024578,ORD202501024578,6,43,36,6,5.3
DEL202501020086,ORD202501020086,4,37,46,4,7.7
DEL202501017897,ORD202501017897,8,32,51,8,5.6
DEL202501014053,ORD202501014053,8,36,36,8,1.7
DEL202501009642,ORD202501009642,6,40,42,6,1
DEL202501008292,ORD202501008292,7,44,47,7,7.4
DEL202501009262,ORD202501009262,,36,,,7.1
DEL202501008635,ORD202501008635,4,41,33,4,1
DEL202501010001,ORD202501010001,6,31,25,6,7.9
DEL202501008095,ORD202501008095,5,39,32,4,2.2
DEL202501012049,ORD202501012049,7,31,38,7,1.6
DEL202501002697,ORD202501002697,2,42,38,2,5.8
DEL202501019658,ORD202501019658,1,35,31,1,6.4
DEL202501014374,ORD202501014374,6,40,48,6,3.6
DEL202501013840,ORD202501013840,5,36,32,5,7
DEL202501009524,ORD202501009524,3,37,44,3,3
DEL202501007313,ORD202501007313,6,33,38,6,3.2
DEL202501010241,ORD202501010241,4,33,39,4,5.1
DEL202501001239,ORD202501001239,1,36,45,1,4.3
DEL202501013926,ORD202501013926,5,36,39,5,7
DEL202501020655,ORD202501020655,,43,,,1.5
DEL202501010199,ORD202501010199,8,34,27,8,1.4
DEL202501004796,ORD202501004796,6,37,45,6,7.1
DEL202501001392,ORD202501001392,3,38,31,3,4.3
DEL202501016769,ORD202501016769,5,42,39,3,6.6
DEL202501002002,ORD202501002002,,33,,,3.6
DEL202501010382,ORD202501010382,3,35,28,3,2.5
DEL202501014738,ORD202501014738,4,43,51,4,4.8
DEL202501017675,ORD202501017675,3,40,42,3,1
DEL202501009592,ORD202501009592,2,33,30,2,5.9
DEL202501024200,ORD202501024200,2,44,31,2,3.9
DEL202501006494,ORD202501006494,9,43,40,9,1
DEL202501017946,ORD202501017946,1,41,44,1,5.5
DEL202501023177,ORD202501023177,7,35,42,6,6.2
DEL202501018062,ORD202501018062,2,32,41,2,6
DEL202501013662,ORD202501013662,11,44,46,11,6
DEL202501017003,ORD202501017003,1,33,27,1,3.9
DEL202501002256,ORD202501002256,2,41,48,2,7.4
